@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

clean_lk_2005_0-10,2,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170523.1206,846,94,67,27,0,71.276596,28.723404,0,0.426052,0.26961,0.412736,53.946438,82.565862,93.969302,74.824438,19.144864,0.999673,0.796005,0.203669,43.804357,0.466004,4381.859953,0.73913,34,0.3125,15,0.6875,33,0.26087,12,0.693878,0.73913,0.715789,0.426921,0.850543,0.877859,0.712766,0.286136,0.713864,0.287234,0.714025,0.712766,0.712668,0.426921,0.850543,0.860358,0.712733,0.712766,0.006,0.001,0,0,0,0,9711,305311,36847,96.808511,76.595745,?
clean_lk_2005_0-10,3,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170523.1206,846,94,69,25,0,73.404255,26.595745,0,0.467603,0.256223,0.411876,51.267753,82.393875,93.969302,280.638503,-186.669201,0.999673,2.985516,-1.985843,46.428838,0.493924,4644.393407,0.717391,33,0.25,12,0.75,36,0.282609,13,0.733333,0.717391,0.725275,0.467709,0.847373,0.765794,0.734043,0.266651,0.733349,0.265957,0.734028,0.734043,0.733952,0.467709,0.847373,0.831684,0.733771,0.734043,0.004,0.001,0.015625,0,15.625,0,9711,305311,36847,93.617021,75,?
clean_lk_2005_0-10,3,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170523.1206,846,94,70,24,0,74.468085,25.531915,0,0.48913,0.27582,0.42356,55.188941,84.731181,93.969302,77.905632,16.06367,0.999673,0.828783,0.17089,42.732994,0.454606,4274.688804,0.73913,34,0.25,12,0.75,36,0.26087,12,0.73913,0.73913,0.73913,0.48913,0.836504,0.853628,0.744681,0.25555,0.74445,0.255319,0.744681,0.744681,0.744681,0.48913,0.836504,0.849811,0.744565,0.744681,0.005,0.002,0,0,0,0,9711,305311,36847,94.680851,76.06383,?
clean_lk_2005_0-10,3,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170523.1206,846,94,74,20,0,78.723404,21.276596,0,0.573889,0.231989,0.387828,46.418852,77.583198,93.969302,70.083594,23.885708,0.999673,0.74557,0.254103,51.381974,0.546617,5139.86802,0.76087,35,0.1875,9,0.8125,39,0.23913,11,0.795455,0.76087,0.777778,0.574411,0.884511,0.888196,0.787234,0.213864,0.786136,0.212766,0.787563,0.787234,0.787041,0.574411,0.884511,0.884124,0.786848,0.787234,0.004,0.008,0,0,0,0,9711,305311,36847,97.87234,74.468085,?
clean_lk_2005_0-10,3,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170523.1206,846,94,65,29,0,69.148936,30.851064,0,0.380173,0.335529,0.471878,67.136171,94.396945,93.969302,122.82562,-28.856318,0.999673,1.306656,-0.306982,31.886558,0.339219,3189.692529,0.586957,27,0.208333,10,0.791667,38,0.413043,19,0.72973,0.586957,0.650602,0.387408,0.75317,0.714817,0.691489,0.312866,0.687134,0.308511,0.697527,0.691489,0.687985,0.387408,0.75317,0.728093,0.687206,0.691489,0.004,0.004,0,0,0,0,9711,305311,36847,92.553191,82.446809,?
clean_lk_2005_0-10,3,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170523.1206,846,94,76,18,0,80.851064,19.148936,0,0.6165,0.232571,0.359361,46.535235,71.88853,93.969302,51.48929,42.480013,0.999673,0.547758,0.451915,51.316031,0.545915,5133.271602,0.782609,36,0.166667,8,0.833333,40,0.217391,10,0.818182,0.782609,0.8,0.617061,0.904891,0.912535,0.808511,0.192569,0.807431,0.191489,0.808897,0.808511,0.808337,0.617061,0.904891,0.912427,0.808163,0.808511,0.004,0.003,0,0.015625,0,15.625,9711,305311,36847,100,80.319149,?
clean_lk_2005_0-10,3,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170523.1206,846,94,71,23,0,75.531915,24.468085,0,0.510195,0.284959,0.424557,57.017522,84.930623,93.969302,90.073608,3.895695,0.999673,0.95823,0.041444,41.633066,0.442905,4164.660227,0.73913,34,0.229167,11,0.770833,37,0.26087,12,0.755556,0.73913,0.747253,0.510311,0.824728,0.831695,0.755319,0.245355,0.754645,0.244681,0.755324,0.755319,0.755236,0.510311,0.824728,0.819438,0.75507,0.755319,0.004,0.002,0,0,0,0,9711,305311,36847,95.744681,80.851064,?
clean_lk_2005_0-10,3,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170523.1206,846,94,70,24,0,74.468085,25.531915,0,0.489593,0.270503,0.40383,54.124975,80.7843,93.969302,271.038129,-177.068827,0.999673,2.883384,-1.883711,44.249514,0.47074,4426.390095,0.76087,35,0.270833,13,0.729167,35,0.23913,11,0.729167,0.76087,0.744681,0.490036,0.847373,0.811895,0.744681,0.254645,0.745355,0.255319,0.745355,0.744681,0.744681,0.490036,0.847373,0.816049,0.744681,0.744681,0.003,0.002,0.015625,0,15.625,0,9711,305311,36847,95.744681,78.191489,?
clean_lk_2005_0-10,3,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170523.1206,846,94,64,30,0,68.085106,31.914894,0,0.364292,0.314672,0.468729,62.96286,93.767102,93.969302,104.002942,-10.03364,0.999673,1.106414,-0.106741,35.133264,0.373758,3514.468691,0.782609,36,0.416667,20,0.583333,28,0.217391,10,0.642857,0.782609,0.705882,0.372757,0.798913,0.815896,0.680851,0.314909,0.685091,0.319149,0.690849,0.680851,0.67794,0.372757,0.798913,0.801292,0.678523,0.680851,0.004,0.002,0,0,0,0,9711,305311,36847,92.553191,77.12766,?
clean_lk_2005_0-10,3,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170523.1206,846,94,70,24,0,74.468085,25.531915,0,0.486806,0.307163,0.469495,61.460315,93.920231,93.969302,310.991689,-217.022386,0.999673,3.308422,-2.308749,37.685744,0.400912,3769.799671,0.630435,29,0.145833,7,0.854167,41,0.369565,17,0.805556,0.630435,0.707317,0.498332,0.766304,0.728561,0.744681,0.260079,0.739921,0.255319,0.755176,0.744681,0.741156,0.498332,0.766304,0.733766,0.740451,0.744681,0.004,0.001,0,0,0,0,9711,305311,36847,91.489362,78.723404,?
clean_lk_2005_0-10,3,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170523.1206,846,94,69,25,0,73.404255,26.595745,0,0.468085,0.250459,0.391311,50.114469,78.279824,93.969302,57.395043,36.574259,0.999673,0.610586,0.389088,47.055274,0.500588,4707.057323,0.73913,34,0.270833,13,0.729167,35,0.26087,12,0.723404,0.73913,0.731183,0.468191,0.892663,0.899483,0.734043,0.265745,0.734255,0.265957,0.734269,0.734043,0.734073,0.468191,0.892663,0.905009,0.734012,0.734043,0.004,0.001,0,0,0,0,9711,305311,36847,100,79.255319,?
clean_lk_2005_0-10,4,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170523.1206,846,94,70,24,0,74.468085,25.531915,0,0.488203,0.273305,0.42036,54.685703,84.091019,93.969302,85.983011,7.986291,0.999673,0.914713,0.084961,43.703914,0.464935,4371.812431,0.695652,32,0.208333,10,0.791667,38,0.304348,14,0.761905,0.695652,0.727273,0.489989,0.839221,0.850736,0.744681,0.257362,0.742638,0.255319,0.746006,0.744681,0.743985,0.489989,0.839221,0.838866,0.743636,0.744681,0.003,0.001,0,0,0,0,9711,305311,36847,93.617021,78.723404,?
clean_lk_2005_0-10,4,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170523.1206,846,94,65,29,0,69.148936,30.851064,0,0.382979,0.32072,0.477864,64.173033,95.594345,93.969302,125.598692,-31.62939,0.999673,1.336156,-0.336483,34.233656,0.364188,3424.478717,0.695652,32,0.3125,15,0.6875,33,0.304348,14,0.680851,0.695652,0.688172,0.383065,0.764493,0.742356,0.691489,0.308337,0.691663,0.308511,0.691716,0.691489,0.691524,0.383065,0.764493,0.757449,0.691454,0.691489,0.004,0.002,0,0,0,0,9711,305311,36847,89.361702,75.531915,?
clean_lk_2005_0-10,4,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170523.1206,846,94,70,24,0,74.468085,25.531915,0,0.488667,0.28359,0.420997,56.74356,84.218394,93.969302,456.062121,-362.092819,0.999673,4.851725,-3.852051,41.624241,0.442811,4163.777425,0.717391,33,0.229167,11,0.770833,37,0.282609,13,0.75,0.717391,0.733333,0.489112,0.82971,0.745345,0.744681,0.256456,0.743544,0.255319,0.744894,0.744681,0.744449,0.489112,0.82971,0.809096,0.744218,0.744681,0.004,0.001,0,0,0,0,9711,305311,36847,94.680851,78.723404,?
clean_lk_2005_0-10,4,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170523.1206,846,94,64,30,0,68.085106,31.914894,0,0.362568,0.33063,0.471663,66.155961,94.353958,93.969302,500.681024,-406.711722,0.999673,5.326394,-4.32672,32.413876,0.344828,3242.441554,0.717391,33,0.354167,17,0.645833,31,0.282609,13,0.66,0.717391,0.6875,0.363884,0.754076,0.747127,0.680851,0.317626,0.682374,0.319149,0.682747,0.680851,0.680562,0.363884,0.754076,0.719759,0.680707,0.680851,0.004,0.001,0,0,0,0,9711,305311,36847,93.617021,81.382979,?
clean_lk_2005_0-10,4,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170523.1206,846,94,76,18,0,80.851064,19.148936,0,0.616152,0.233944,0.366365,46.810007,73.28968,93.969302,57.292246,36.677056,0.999673,0.609492,0.390181,51.447846,0.547318,5146.457398,0.76087,35,0.145833,7,0.854167,41,0.23913,11,0.833333,0.76087,0.795455,0.618406,0.88904,0.905262,0.808511,0.193474,0.806526,0.191489,0.81042,0.808511,0.807988,0.618406,0.88904,0.894735,0.807727,0.808511,0.003,0.001,0,0,0,0,9711,305311,36847,97.87234,77.659574,?
clean_lk_2005_0-10,4,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170523.1206,846,94,72,22,0,76.595745,23.404255,0,0.530853,0.250577,0.377131,50.13814,75.443325,93.969302,59.756863,34.212439,0.999673,0.635711,0.363962,47.931417,0.509909,4794.700154,0.717391,33,0.1875,9,0.8125,39,0.282609,13,0.785714,0.717391,0.75,0.532795,0.889946,0.897616,0.765957,0.236066,0.763934,0.234043,0.767477,0.765957,0.765319,0.532795,0.889946,0.896399,0.765,0.765957,0.003,0.001,0.015625,0,15.625,0,9711,305311,36847,97.87234,79.787234,?
clean_lk_2005_0-10,4,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170523.1206,846,94,79,15,0,84.042553,15.957447,0,0.680851,0.196518,0.315146,39.321421,63.043441,93.969302,43.509389,50.459913,0.999673,0.462866,0.536808,58.840277,0.62596,5885.940818,0.847826,39,0.166667,8,0.833333,40,0.152174,7,0.829787,0.847826,0.83871,0.681005,0.936594,0.93783,0.840426,0.159266,0.840734,0.159574,0.840652,0.840426,0.840444,0.681005,0.936594,0.93828,0.840407,0.840426,0.004,0.001,0,0,0,0,9711,305311,36847,98.93617,77.659574,?
clean_lk_2005_0-10,4,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170523.1206,846,94,64,30,0,68.085106,31.914894,0,0.363144,0.328548,0.480391,65.739295,96.09996,93.969302,305.200321,-211.231019,0.999673,3.246812,-2.247138,32.828294,0.349237,3283.896786,0.73913,34,0.375,18,0.625,30,0.26087,12,0.653846,0.73913,0.693878,0.366126,0.76721,0.765009,0.680851,0.316721,0.683279,0.319149,0.684709,0.680851,0.679983,0.366126,0.76721,0.759679,0.680272,0.680851,0.004,0.001,0.015625,0,15.625,0,9711,305311,36847,95.744681,79.255319,?
clean_lk_2005_0-10,4,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170523.1206,846,94,70,24,0,74.468085,25.531915,0,0.48913,0.276894,0.417091,55.403739,83.437066,93.969302,70.353354,23.615948,0.999673,0.74844,0.251233,42.753791,0.454828,4276.769242,0.73913,34,0.25,12,0.75,36,0.26087,12,0.73913,0.73913,0.73913,0.48913,0.855525,0.871054,0.744681,0.25555,0.74445,0.255319,0.744681,0.744681,0.744681,0.48913,0.855525,0.865803,0.744565,0.744681,0.003,0.001,0,0,0,0,9711,305311,36847,96.808511,79.255319,?
clean_lk_2005_0-10,4,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170523.1206,846,94,76,18,0,80.851064,19.148936,0,0.616152,0.227766,0.378172,45.573847,75.651467,93.969302,90.009133,3.96017,0.999673,0.957544,0.042129,52.3812,0.557247,5239.823139,0.76087,35,0.145833,7,0.854167,41,0.23913,11,0.833333,0.76087,0.795455,0.618406,0.879529,0.835717,0.808511,0.193474,0.806526,0.191489,0.81042,0.808511,0.807988,0.618406,0.879529,0.848859,0.807727,0.808511,0.003,0.002,0,0,0,0,9711,305311,36847,95.744681,74.468085,?
