@relation clean_lk_0905_0-5

@attribute Champ1WR numeric
@attribute Champ2WR numeric
@attribute Champ3WR numeric
@attribute Champ4WR numeric
@attribute Champ5WR numeric
@attribute Champ6WR numeric
@attribute Champ7WR numeric
@attribute Champ8WR numeric
@attribute Champ9WR numeric
@attribute Champ10WR numeric
@attribute PlayerChamp1WR numeric
@attribute PlayerChamp2WR numeric
@attribute PlayerChamp3WR numeric
@attribute PlayerChamp4WR numeric
@attribute PlayerChamp5WR numeric
@attribute PlayerChamp6WR numeric
@attribute PlayerChamp7WR numeric
@attribute PlayerChamp8WR numeric
@attribute PlayerChamp9WR numeric
@attribute PlayerChamp10WR numeric
@attribute Player1ChampTimes numeric
@attribute Player2ChampTimes numeric
@attribute Player3ChampTimes numeric
@attribute Player4ChampTimes numeric
@attribute Player5ChampTimes numeric
@attribute Player6ChampTimes numeric
@attribute Player7ChampTimes numeric
@attribute Player8ChampTimes numeric
@attribute Player9ChampTimes numeric
@attribute Player10ChampTimes numeric
@attribute Player1Ranking numeric
@attribute Player2Ranking numeric
@attribute Player3Ranking numeric
@attribute Player4Ranking numeric
@attribute Player5Ranking numeric
@attribute Player6Ranking numeric
@attribute Player7Ranking numeric
@attribute Player8Ranking numeric
@attribute Player9Ranking numeric
@attribute Player10Ranking numeric
@attribute Winner {Team1,Team2}

@data
0.469513,0.517475,0.51141,0.478395,0.52161,0.500215,0.5363,0.494553,0.488523,0.512857,0.514286,0.5,0.58427,0.5,0.444444,0.536585,0.551402,0.6,0.458333,0.705882,70,20,89,20,18,82,428,10,24,34,41,29,29,41,35,35,35,35,35,35,Team2
0.517475,0.489855,0.512191,0.500345,0.507339,0.52161,0.505888,0.501402,0.497608,0.488523,0.655738,0.641026,0.333333,0.516129,0.621622,0.7,0.6,0.579268,0.6,0.576923,61,39,3,62,37,10,5,164,5,130,41,41,41,35,41,41,41,29,41,35,Team2
0.567365,0.512191,0.466737,0.501402,0.497608,0.499544,0.504341,0.493698,0.500455,0.482865,0.712,0.555556,0.666667,0.704545,0.454545,0.576923,0.571429,0.597938,0.579125,0.666667,125,9,3,44,22,26,21,97,297,12,41,41,41,35,41,41,35,35,41,41,Team2
0.489855,0.517475,0.505888,0.504341,0.534171,0.500455,0.482437,0.489224,0.497608,0.501423,0,0.439024,0.428571,0.428571,0.333333,0.579125,0.714286,0.5,0.434783,0.557522,2,41,14,21,6,297,7,4,46,113,35,35,41,41,41,41,41,41,35,35,Team2
0.503686,0.52161,0.508782,0.507339,0.489855,0.451178,0.495307,0.489224,0.498311,0.482437,0.728972,0.461538,0.6875,0.25,0.564103,0.439394,0.619048,0.521739,0.444444,0.622222,107,13,32,4,39,66,42,23,18,45,41,35,41,41,35,41,41,35,41,41,Team2
0.503686,0.529738,0.496176,0.472718,0.508782,0.451178,0.504341,0.424597,0.499544,0.489224,0.683333,0.2,0.6,0.608108,0.6875,0.478261,0.454545,0.537313,0.294118,0.528571,120,5,235,74,32,23,11,67,17,70,35,35,35,35,41,41,41,35,41,41,Team1
0.507339,0.529153,0.497608,0.510877,0.52161,0.500455,0.508782,0.55101,0.505888,0.489855,0,0.581395,0.612069,0.52381,0.444444,0.53913,0.6875,0.444444,0.646789,0.625,1,86,116,21,9,115,32,108,218,8,35,35,35,35,41,35,41,35,35,41,Team2
0.503818,0.500215,0.498311,0.482865,0.504341,0.488523,0.501402,0.505888,0.524432,0.489855,0.647059,0.516129,0.692308,0.666667,0.590909,0,0.611111,0.646789,0.604167,0.555556,17,31,13,12,22,4,90,218,96,9,35,29,35,41,35,41,41,35,35,35,Team1
0.517475,0.482437,0.503686,0.451178,0.497346,0.503818,0.508782,0.49935,0.504341,0.494553,0.489796,0.516129,0.582418,0.439394,0.744186,0.535714,0.555556,0.488889,0.65,0.617647,49,31,364,66,43,140,36,45,20,68,41,41,41,41,41,41,35,35,41,41,Team1
0.51141,0.517475,0.489224,0.488523,0.424597,0.529738,0.482437,0.508782,0.502407,0.513564,0.553922,0.375,0.526316,0.5,0.617391,1,0.518519,0.6875,0.583893,0.571429,816,8,19,40,115,1,27,32,149,7,41,41,35,41,35,41,41,41,41,35,Team2
0.505284,0.508782,0.534171,0.504341,0.482437,0.501788,0.512191,0.51141,0.500345,0.501423,1,0.625,0.6,0.666667,0.621212,0.5,0.519231,0.522727,0.516129,0.5,1,8,10,117,66,80,52,44,62,184,35,35,35,41,41,35,41,41,35,41,Team1
0.500455,0.508782,0.489224,0.516294,0.488523,0.489855,0.504341,0.498311,0.483625,0.490155,0.555556,0.533333,0.705882,0.60177,0.625,0.536232,0.621212,0.5,0.605263,0.472222,18,45,17,226,56,69,132,6,38,36,41,41,41,35,35,41,41,35,23,41,Team1
0.493698,0.507339,0.515663,0.501423,0.500345,0.494553,0.500455,0.517475,0.498311,0.482865,0.53125,0.729167,0.722222,0.526316,0.833333,0.4,0.75,0.6,0.533333,0.764706,32,48,18,19,6,25,8,10,15,17,35,41,35,35,41,41,35,35,35,41,Team1
0.451178,0.499544,0.504341,0.482437,0.484698,0.488523,0.518457,0.514608,0.497346,0.50543,0.666667,0.666667,0.6875,0.602941,0.666667,0.52,0.375,0.563025,0.744186,0.5,12,12,16,68,12,100,8,119,43,12,35,35,41,41,41,41,41,41,41,35,Team1
0.529738,0.501423,0.507339,0.518457,0.489224,0.495307,0.500455,0.508782,0.482882,0.528162,0.58159,0.615385,0.584416,0.6,0.363636,0.722222,0.48,0.621622,0.642857,0.571429,239,13,77,5,11,18,25,37,14,245,29,35,41,35,41,41,35,41,28,35,Team2
0.508782,0.505888,0.451178,0.489855,0.501788,0.487929,0.488523,0.489224,0.510211,0.494553,0.375,0.2,0,0.530612,0.599078,0.528571,0.52,0.705882,0.647059,0.617647,32,5,1,49,217,70,100,17,17,68,35,35,41,41,35,41,41,41,41,41,Team2
0.489855,0.482437,0.501788,0.500455,0.517475,0.489224,0.498311,0.433356,0.507339,0.482865,0.666667,0.666667,0.722222,0.585714,0.622951,0.333333,0.538462,0.481481,0.447368,0.4,9,27,18,70,61,6,13,27,38,10,35,41,41,35,35,35,41,41,35,41,Team1
0.517475,0.482437,0.487073,0.500455,0.507339,0.503818,0.488523,0.508782,0.529738,0.478395,0.514286,0.621212,0.666667,0.375,0.584416,0.444444,0.55,0.375,0.563506,0.546099,35,66,12,16,77,45,20,8,559,141,35,41,41,35,41,41,41,41,35,41,Team1
0.528813,0.483625,0.499544,0.451178,0.496717,0.488523,0.499544,0.482437,0.500455,0.50543,0.777778,0.5,0.421053,0.363636,0.25,0.576923,0.64,0.72,0.579125,0.565217,9,30,38,11,4,130,25,100,297,23,41,41,35,41,41,35,35,41,41,41,Team2
0.501423,0.489855,0.470806,0.500455,0.501788,0.482437,0.504341,0.483625,0.517475,0.497608,0.65,0.539683,0.461538,0.579125,0.558824,0.714286,0.616667,0.604651,0.556818,0,40,252,13,297,34,7,60,43,88,2,35,41,35,41,41,41,41,41,41,35,Team1
0.500355,0.487073,0.488523,0.512191,0.500455,0.506743,0.482865,0.501788,0.508782,0.489855,0.333333,0.5,0.464286,0.508475,0.579125,0.592593,0.625,0.4,0.568627,0.539474,3,104,28,59,297,27,16,20,51,76,41,29,35,41,41,41,41,41,41,41,Team2
